,words,sentiments,word
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
5,जतासुकै,,everywhere
6,लैजाउ,प्रेम,align
,लैजाउ,दुखी,align
,,,#VALUE!
9,मन,प्रेम,mind
,,,#VALUE!
,,,#VALUE!
12,नेपाली,देश्भक्ती,nepali
,,,#VALUE!
14,,,#VALUE!
15,गर्व,हर्ष,glory
,,,#VALUE!
17,हाम्रो,प्रेम,our
18,पुर्खाले,देश्भक्ती,fathers
,,,#VALUE!
20,ब्य्थाहरु,दुखी,bythaharu
21,सहेर,दुखी,freely
22,इतिहासमा,देश्भक्ती,history
23,कथा,,story
,,,#VALUE!
25,,,#VALUE!
26,,,#VALUE!
27,लडॉइ,देश्भक्ती,ladoi
28,मैदान,देश्भक्ती,ground
29,भागिदिंछ,दुखी,bhagidincha
30,सुनको,,gold
31,तराजुमा,,the balance
32,बिकी,देश्भक्ती,sold
33,दिंछ,हर्श,dincha
34,आफ्नै,प्रेम,own
35,कर्ममा,देश्भक्ती,horrible
36,अटल,देश्भक्ती,firm
37,रहने,हर्श,stay
38,पसिना,देश्भक्ती,sweat
39,बिश्वास,प्रेम,believe
,बिश्वास,हर्श,believe
,बिश्वास,देश्भक्ती,believe
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
43,भरोसामा,प्रेम,trust
,भरोसामा,देश्भक्ती,trust
44,बाचिदिंछ,प्रेम,bacidincha
,बाचिदिंछ,देश्भक्ती,bacidincha
45,आफ्नो,प्रेम ,his
46,अधिकारलाई,देश्भक्ती,right
47,गुम्न,दुखी ,loss
48,हिमाल,देश्भक्ती,mountain
49,झै,,like
50,चम्किलो,हर्श,bright
51,सफा,हर्श,clean
52,छाती,,chest
53,आकाश,,sky
54,फिजिए,,the chill
55,बिचार,,thought
56,बिशाल,प्रेम,large
,बिशाल,देश्भक्ती,large
57,परेलीमा,प्रेम,magazines and
58,लुकाई,,hidden
59,अंगालो,प्रेम,hug
60,,,#VALUE!
61,बाँधी,प्रेम,bound
62,जान,,life
63,देउ,प्रेम,let
64,रोक,,stop
65,उड्न,प्रेम,fly
,उड्न,हर्श,fly
66,को,,to
67,चरी,,sorghum
68,जस्तै,,like
69,,,#VALUE!
70,बाँधेर,प्रेम,bind
71,तिम्रै,,yours
72,मुटुमा,प्रेम,heart
73,धड्कन,प्रेम,rate
74,साँचेर,प्रेम,store
75,आँखामा,प्रेम,eyes
76,साहारा,प्रेम,sahara
77,,,#VALUE!
78,भित्र,,within
79,साँची,प्रेम,impious
80,आँखा,प्रेम,eye
,आँखा,हर्श,eye
,आँखा,दुखी,eye
81,अल्झाई,प्रेम,aljhai
,,दुखी,#VALUE!
82,रम्न,हर्श,highlands
83,बास,,bass
84,बस्न,,to live
85,हृदयको,प्रेम,heart
86,धुकधुकी,प्रेम,palpitations
87,रातो,प्रेम,red
,रातो,देश्भक्ती,red
88,,,#VALUE!
,,,#VALUE!
90,सुर्य,हर्श,surya
91,जङ्गी,देश्भक्ती,igp
92,निशान,देश्भक्ती,mark
