X,words,sentiments,word,sentiment
6,लैजाउ,,align,प्रेम
,लैजाउ,,align,दुखी
9,मन,,mind,प्रेम
12,नेपाली,,nepali,देश्भक्ती
15,गर्व,,glory,आशा
15,गर्व,,glory,खुशी
15,गर्व,,glory,सकारात्मक
15,गर्व,,glory,विश्वास
17,हाम्रो,,our,प्रेम
18,पुर्खाले,,fathers,देश्भक्ती
20,ब्य्थाहरु,,bythaharu,दुखी
21,सहेर,,freely,खुशी
21,सहेर,,freely,सकारात्मक
21,सहेर,,,दुखी
21,सहेर,,freely,विश्वास
22,इतिहासमा,,history,देश्भक्ती
27,लडॉइ,,ladoi,देश्भक्ती
28,मैदान,,ground,देश्भक्ती
29,भागिदिंछ,,bhagidincha,दुखी
30,सुनको,,gold,सकारात्मक
32,बिकी,,sold,देश्भक्ती
33,दिंछ,,dincha,खुशी
34,आफ्नै,,own,प्रेम
35,कर्ममा,,horrible,सकारात्मक
35,कर्ममा,,,देश्भक्ती
36,अटल,,firm,देश्भक्ती
37,रहने,,stay,खुशी
38,पसिना,,sweat,देश्भक्ती
39,बिश्वास,,believe,प्रेम
NA,बिश्वास,,believe,खुशी
NA,बिश्वास,,believe,देश्भक्ती
43,भरोसामा,,विश्वास,प्रेम
NA,भरोसामा,,विश्वास,देश्भक्ती
44,बाचिदिंछ,,bacidincha,प्रेम
NA,बाचिदिंछ,,bacidincha,देश्भक्ती
45,आफ्नो,,his,प्रेम
46,अधिकारलाई,,right,देश्भक्ती
47,गुम्न,,loss,रिस
47,गुम्न,,loss,डर
47,गुम्न,,loss,नकारात्मक
47,गुम्न,,loss,दुखी 
48,हिमाल,देश्भक्ती,mountain,देश्भक्ती
50,चम्किलो,,bright,खुशी
51,सफा,,clean,खुशी
51,सफा,,clean,सकारात्मक
51,सफा,,clean,विश्वास
53,आकाश,,sky,सकारात्मक
55,बिचार,,thought,आशा
56,बिशाल,,large,प्रेम
NA,बिशाल,,large,देश्भक्ती
57,परेलीमा,,magazines and,प्रेम
58,लुकाई,,hidden,नकारात्मक
59,अंगालो,,hug,खुशी
59,अंगालो,,hug,सकारात्मक
59,अंगालो,,hug,विश्वास
,बाँधी,,,नकारात्मक
61,बाँधी,प्रेम,bound,प्रेम
63,देउ,प्रेम,let,प्रेम
65,उड्न,प्रेम,fly,प्रेम
NA,उड्न,खुशी,fly,खुशी
70,बाँधेर,प्रेम,bind,प्रेम
71,तिम्रै,,yours,प्रेम
72,मुटुमा,प्रेम,heart,प्रेम
73,धड्कन,प्रेम,rate,प्रेम
74,साँचेर,प्रेम,store,प्रेम
74,प्रेम,प्रेम,store,सकारात्मक
75,आँखामा,प्रेम,eyes,प्रेम
76,साहारा,प्रेम,sahara,प्रेम
79,साँची,प्रेम,impious,प्रेम
80,आँखा,प्रेम,eye,प्रेम
NA,आँखा,खुशी,eye,खुशी
NA,आँखा,दुखी,eye,दुखी 
81,अल्झाई,प्रेम,aljhai,प्रेम
NA,अल्झाई,दुखी,#VALUE!,दुखी 
82,रम्न,खुशी,highlands,खुशी
83,बास,,bass,सकारात्मक
84,बस्न,,to live,सकारात्मक
