no,word,English,sentiment
1,ॐ,,आशा
2,अखण्ड,integrated,देशभक्त
3,अँगारमात्र,amgaramatra,दुःखी 
4,अंगालेको,considers,प्रेम
5,अंगालेको,,दुःखी 
6,अंगालेको,,हर्ष
7,अंगालो,hug,हर्ष
8,अंगालो,hug,सकारात्मक
9,अंगालो,hug,विश्वास
10,अँगालोमा,arms,विश्वास
11,अंगालोमा,arms,प्रेम
12,अग्रगामी,pioneer,सकारात्मक
13,अग्रगामी,pioneer,देशभक्त
14,अङाल्छु,analchu,हर्ष
15,अङाल्छु,,दुःखी 
16,अङाल्छु,,प्रेम
17,अङ्गालेर,naught,प्रेम
18,अचम्मै,surprise,डर
19,अचम्मै,surprise,हर्ष
20,अचम्मै,surprise,सकारात्मक
21,अचम्मै,surprise,आश्चर्य
22,अचल,immovable,नकारात्मक
23,अचल,immovable,सकारात्मक
24,अचल,immovable,विश्वास
25,अचानक,suddenly,आश्चर्य
26,अजम्बरी,ajambari,सकारात्मक
27,अजम्बरी,,हर्ष
28,अटल,firm,देशभक्त
29,अड्चन,obstacle,रिस
30,अड्चन,obstacle,डर
31,अड्चन,obstacle,नकारात्मक
32,अड्चन,obstacle,दुःखी 
33,अंत,end,नकारात्मक
34,अधिकार,right,सकारात्मक
35,अधिकार,,देशभक्त
36,अधुरो,incomplete,दुःखी 
37,अधूरा,incomplete,दुःखी 
38,अधेँरी,adhemri,दुःखी 
39,अंधेरी,dark,दुःखी 
40,अध्यारो,dark,दुःखी 
41,अध्याँरो,dark,दुःखी 
42,अँध्यारो,dark,दुःखी 
43,अँध्यारोमा,dark,दुःखी 
44,अँध्यारोमा,dark,प्रेम
45,अँध्यारोमा,dark,नकारात्मक
46,अनन्त,infinite,सकारात्मक
47,अनुभुति,enjoy the,विश्वास
48,अनौठो,strange,प्रेम
49,अन्तै,somewhere,दुःखी 
50,अन्धकारको,dark,दुःखी 
51,अन्धकारको,dark,डर
52,अप्ठ्यारो,difficult,डर
53,अप्ठ्यारो,difficult,दुःखी 
54,अप्रित,aprita,प्रेम
55,अप्रित,aprita,दुःखी 
