x,text,artist,song,year,album
1,,बिपुल छेत्री,गहिरो गहिरो ,2018,गहिरो गहिरो 
2,,बिपुल छेत्री,बसन्त ,2017,बसन्त 
3,"सिरिरि हावा बग्यो सुस्तरी
एकान्त दुनियामा मलाई फेरि उडाई लग्यो
उडी रहेको भुवा जस्तै


अनन्त आकाशमा बगाइ लग्यो
जाँदै छु, कता तिर
बगेछु आकाश निर
आउने दिनहरु कसलाई के था
म त अहिलेकोलागि नै बाँचिरहे छु
सपनीलाई खोज्दा खोज्दै
आफुलाई नै भुलेछु
जाँदै छु, कता तिर
बगेछु आकाश निर
जाँदै छु, कता तिर
आहो.आहै.
बगेछु आकाश निर
आहाहा आहाहा.हा.है
आहाहा आहाहा.हा.है
सिरिरिरि
जिरिरि
सिरिरिरि
जिरिरि
जिरिरिरिरिरि
सिरिरि हावा बग्यो सुस्तरी
अनन्त आकाशमा बगाइ लग्यो",बिपुल छेत्री,सिरिरि,2016,माया 
4,"हेय
गाऊढली चरी
गाऊढली चरी मेरो


मन कि पारी आज
कता भगेछ

हम्म्म
वोरी पारी को हरयाली हेरा आज कता माझेस

हेय
सलल बगी रहने
कलल खेली रहने यो तीस्त खोला
हम्म्म
बगेको नै देखिन दाहिना आयू
कस्तो यो बेला

अल्लारे यो जोवन
कसलाई दिन्ने यो मन
अल्लारे यो जोवन
कसलाई दिन्ने यो मन हे

हे हेय
पौनु तह यहा धेरै
लौनु तह यहा धेरै
माया न पौने
दुई दिन को यो जिन्दगी म नै कति पिरौने

हे हेय
लिन्ने तह यहा धेरै
दिन्ने तह यहा थोरै
कसरी पुग्ने
लागेर जानु कहिनै छैन साथी कति थुपार्ने

अल्लारे यो जोवन
कसलाई दिन्ने यो मन
अल्लारे यो जोवन
कसलाई दिन्ने यो मन हे

सीतल सीतल हावा बग्यो मनै रहर
औने दिन्न हरु कस्तो होला थाहै छैन
मनमा कस्ता कस्ता कुरा हरु खेली रहन्छ
अस्तित्व खोजी रहे आजा सम पाई छैन

हे हेय
मन को कुरा हरु मन मै रयो
कसैलाई मो के भनुँ
साँझेको माया पाएको छैन
कसैलाई मो के सोडउम

हे हेय
चारै तिर चललल कंगचेन्जुंगा हिमालले
ढकयो संसार
पहरामा पनि शान्ति नै छैन
चरी जौ हैनकि मो त तल

अल्लारे यो जोवन
कसलाई दिन्ने यो मन
अल्लारे यो जोवन
कसलाई दिन्ने यो मन

अल्लारे यो जोवन
कसलाई दिन्ने यो मन
अल्लारे यो जोवन
कसलाई दिन्ने यो मन

अल्लारे यो जोवन
कसलाई दिन्ने यो मन
अल्लारे यो जोवन
कसलाई दिन्ने यो मन",बिपुल छेत्री,अल्लारे यो जोवन,2016,माया 
5,"खोला बग्यो सलल, फर्की नआउने यो पल आ.है... यो पल
पाउने त यहाँ कति कति, नपाउने यहाँ पिरती आ.है... पिरती
ऋतुहरु यहाँ बदलिएछ, समय पनि बदलिएछ


ऋतुहरु यहाँ बदलिएछ, तर मन मेरो कहिले न बदलिनु

छातीको पिरलाई छोडिदेउ, मनको ढोकालाई खोलिदेउ आ.है... खोलिदेउ
खुशीले नाचौ है हामी सारा, जन्मका यो यहाँ जुन तारो आ.है... जुन तारो
युगहरु यहाँ ढलेछ, दिन पनि ढलेछ
यौवन यहाँ ढलेछ, तर मन मेरो कहिले नै ढल्दैन

आजसम्म आउदछ तिम्रैनै यादहरु, यौवनको बगेछ आज रगतहरु
आजसम्म लाग्छ जिन्दगीमा केहि अधुरो, हेर्दा हेर्दै बितिसकेछ जीवन मेरो
हो... जीवन मेरो

जिउने छु म त मन खोलेर, मरेपछि लानु के छ बोकेर आ.है... बोकेर
युगहरु यहाँ ढलेछ, दिन पनि ढलेछ
यहाँ यौवन मेरो ढलेछ, तर मन मेरो कहिले नै ढल्दैन
मन मेरो कहिले नै ढल्दैन
मन मेरो कहिले नै ढल्दैन",बिपुल छेत्री,मन,2016,माया 
6,"दिन पनि मेरो माया
रात पनि तिम्रै नै समझना
मायालु लाई सम्झी मत
गरिरहेछु यहा कल्पना

एती खेर भई सक्यो
औने कि नूउने मेरो माया
दिन पनि ढाली सक्यो
आजो कति पर्खौने मेरो माया

लाहाइन
माया को जालमा फ्शहयो नि हैन
लाहाइन
हेर्दा हेर्दै योवान ढली सक्यो हैन

आहाहाअ हाआ हाआ

लैजौना मलाई तिमी सँगैइनै सहरमा मेरो माया
मोटर म छरेर म जाने छु तिमी सँगै मेरो माया

दिन पनि मेरो माया
रात पनि तिम्रै नै समझना
मायालु लाई सम्झी मत
गरिरहेछु यहा कल्पना

लाहाइन
माया को जालमा फ्शहयो नि हैन
लाहाइन
हेर्दा हेर्दै योवान ढली सक्यो हैन

आहाहाअ हाआ हाआ

आहाहाअ हाआ हाआ अहहहाहहा हाआ हाआ हाआ अहहहाआअ

आहाहाअ हाआ हाआ अहहहाहहा हाआ हाआ हाआ अहहहाआअ

आहाहाअ हाआ हाआ अहहहाहहा हाआ हाआ हाआ अहहहाआअ

आहाहाअ हाआ हाआ अहहहाहहा हाआ हाआ हाआ अहहहाआअ",बिपुल छेत्री,मेरो माया,2016,माया 
7,"आकास भरि नौंलाखे तारा
आकास भरि नौंलाखे तारा
झलल बलिरहे छौ है तिमी कति टाढा


सुनसान छ यहाँ चारैतिर
सुनसान छ यहाँ चारैतिर
त्यो पारी गाँउमा बिजुली बत्ति जलेछ
झ ल ल ल ल ल ल ल ल ल ल ल ल
झ ल ल ल ल ल ल ल ल ल
हावा चल्यो यहाँ सरर
हावा चल्यो यहाँ सरर
सरर हावा चल्यो हल्लाईदियो पिपल रुख
रातकी रानी उलेछ यहाँ
रातकी रानी उलेछ यहाँ
मगमगे बासना चारैतिर छरिएछ जहाँ
जिवन यसै बित्ने हो कि
जिवन यसै बित्ने हो कि
अधुरो जिवन अधुरो बित्ने हो कि
आकास भरि नौंलाखे तारा
आकास भरि नौंलाखे तारा
झलल बलिरहे छौ है तिमी कति टाढा
झ ल ल ल ल ल ल ल ल ल ल ल ल
झ ल ल ल ल ल ल ल ल ल
झ ल ल ल ल ल ल ल ल ल ल ल ल
झ ल ल ल ल ल ल ल ल ल
झ ल ल ल ल ल ल ल ल ल ल ल ल ल
झ ल ल ल ल ल ल ल ल ल",बिपुल छेत्री,नौंलाखे तारा,2016,माया 
8,"भेट भयो आज हामी सिन्डिकेट्को माझ हामी
उभिएछु तिम्रो बगल मा, बिजि तिमी मोबाइल मा हेरेछु
खीलेको योवन,



नाम तिम्रो थाहा छैन तर मलाई पर्वाहा छैन
बोली केही रहेछौ है, आँखाले केही भनिरहेछौ है
बोलुं त के भनेर
डर पनि लाग्छ सोचेर

तिमी जाने सिलिगुरि, म जाने सिक्किम तिर

खुसी छु है तिम्रै माझ भुले सारा संसार आज
तिमी पनि म संग नै जान भए कति रमाइलो
हुने थियो भन्नत

कस्तो यो मिलन हाम्रो, बीस मिनेट को सम्बन्ध हाम्रो
पाएर पनि नपाए जस्तो, चिनेर पनि नचिने जस्तो
जिन्दगी यस्तै नै हो र
आफ्नै बाटो त जानू छदै छर

तिमी जाने सिलिगुरि, म जाने सिक्किम तिर

मलाई नै हेरेको झै लाग्छ घरि घरि
(हेरे लाग्छ घरिघरि)
फर्की हेर्छु म पनि आशा सरि
(हुउ... आशा सरि)
मनमा सोच्दै म रमाउद छु
(मनमा सोच्दै रमाउद छु)
तिमी संगै भएको कल्पना गर्छु
(कल्पना गर्छु...)

कस्तो दर्के पानी पर्यो, भिजेर म चुर भए
तिमी संगै ओत लागि आफ्नो गाडी पर्खिरहे
भिजेछु आज म रहर ले

सबै गाडी चढ्न थाल्यो कमाण्डर को हर्न सुनी
कलिम्पोङ टु सिलिगुरि, भन तिमी कस्तो निस्ठुरी
चडेर गयो कता तिर
छाडी राख्यौ मलाई यतै तिर
तिमी जाने सिलिगुरि, म जाने सिक्किम तिर
तिमी जाने सिलिगुरि, म जाने सिक्किम तिर
तिमी जाने सिलिगुरि, म जाने सिक्किम तिर",बिपुल छेत्री,सिन्डिकेट्,2016,माया 
9,कहिले काहिँ कता कता बाटो हुन्छ तरै पनि एक्लै एक्लै हिंड्नै परछ है हिंड्नै परछ है एउटै साथी पनि यहाँ छोडेर हिंडनै परछ छोडेर म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहा. म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहाहा. नाचुँम्ला भन्थे सँधै तिम्रै दिलमा नाचुँम्ला भन्थे सँधै तिम्रै दिलमा जिवनको बाटोले ल्यायो निलौ याहाँ यसरी नै सबै बिर्सेर ओहो.ओहोहोहोहो. कहिले काहिँ कता कता बाटो हुन्छ तरै पनि एक्लै एक्लै हिंड्नै परछ है हिंड्नै परछ है एउटै साथी पनि यहाँ छोडेर हिंडनै परछ छोडेर म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहा. म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहाहा. बसुम्ला भन्थे सँधै तिम्रै छेउमा बसुम्ला भन्थे सँधै तिम्रै छेउमा संसारको रितले पार्यो निलौ तुरमा यसैले हिँडे छोडेर ओहो.ओहोहोहोहो. कहिले काहिँ कता कता बाटो हुन्छ तरै पनि एक्लै एक्लै हिंड्नै परछ है हिंड्नै परछ है एउटै साथी पनि यहाँ छोडेर हिंडनै परछ छोडेर म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहा. म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.ह्म्म्म्म.आहा. आहाहाहाहाहाहा.,बिपुल छेत्री,कहिले काहिँ,2016,माया 
10,"आकाशैमा तारा, जुनेली रात
कलकल खोला बगेको,
तिमी र म, बसि हेरि रहे,


जुनकिरी नाचेको,
आशै आशमा
हिडिरहेछु म आज
पाउन के छ र
भागी जाउँ तिमी र म
संसारको रित यस्तै नै हो
सबै छाडि जाने नै हो
व्यर्थको कुरामा अल्झी बसि
जिन्दगी बिताउने पो हो
उड्न त मन लाग्छ
जाने त हो कता
हा हा हा
पाउन यहाँ के छ र
छाडी राखी जाउँ तिमी म...
हे हे आ आ

आजको यो रात फेरी मलाई
रहरले बिउँझायो
कल्पनाहरु मेरो आँखाभरी
जुनकिरी बनि छायो
यो मिठो रात यतै
बसिदे भए हुन्थ्यो

आ आ

बिहानी आउनु अघि
भागी जाउँ तिमी र म

तिमी म।।।।",बिपुल छेत्री,जुनकिरी,2016,माया 
