lyrics,title,artist,sentiment
"जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो
जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो

मलाई गर्व छ ,हाम्रो पुर्खाले
कति ब्य्थाहरु सहेर
कति ब्य्थाहरु सहेर
इतिहासमा कथा त लेखेकै छ
इतिहासमा कथा त लेखेकै छ

जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो
जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो
न नै लडॉइको मैदानबाट भागिदिंछ
न त सुनको तराजुमा बिकी दिंछ
न नै लडॉइको मैदानबाट भागिदिंछ
न त सुनको तराजुमा बिकी दिंछ
आफ्नै कर्ममा अटल रहने
आफ्नै पसिनामा बिश्वास राख
्ने यो मन त मेरो, नेपाली हो

न नै अरुको भरोसामा बाचिदिंछ
न त आफ्नो अधिकारलाई गुम्न दिंछ
न नै अरुको भरोसामा बाचिदिंछ
न त आफ्नो अधिकारलाई गुम्न दिंछ
हिमाल झै चम्किलो सफा छ छाती
आकाश झै फिजिएको बिचार छ बिशाल
यो मन त मेरो, नेपाली हो

जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो
जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो

मलाई गर्व छ ,हाम्रो पुर्खाले
कति ब्य्थाहरु सहेर
कति ब्य्थाहरु सहेर
इतिहासमा कथा त लेखेकै छ
इतिहासमा कथा त लेखेकै छ
जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो
जसो गर जे भन जतासुकै लैजाउ मलाइ
यो मन त मेरो नेपाली हो",Yo maan ta mero nepali ho,1974 ad,देश्भक्ती
"परेलीमा लुकाई राख न।
अंगालो मा बाँधी राख।
जान न देउ रोक न रोक।
उड्न न देउ आकाश को चरी जस्तै मलाइ।
(chorus)बाँधेर राख तिम्रै मुटुमा,
यो त तिम्रै धड्कन हो।
साँचेर राख तिम्रै आँखामा,
यो त तिम्रै साहारा हो।…२
मन भित्र साँची राख न।
आँखा भित्र अल्झाई राख।
रम्न देउ न तिम्रै आँखा मा।
बास बस्न देउ तिम्रै हृदयको धुकधुकी मा।
परेलीमा लुकाई राख न।
अंगालो मा बाँधी राख।
जान न देउ रोक न रोक।
उड्न न देउ आकाश को चरी जस्तै मलाइ। ",Parelima,1974 ad,प्रेम
"रातो र चन्द्र सुर्य जङ्गी निशान हाम्रो 
जिउंदो रगत सरी यो वल्दो यो शान हाम्रो 
रातो र चन्द्र सुर्य 

हिमाल झै अटल यो झुकेन यो कहिल्यै 
लत्रेन यो कहिले जङ्गी निशान हाम्रो 
यो जन्मदै जगतमा कयौ प्रहार आए 
साम्राज्य दुई हारे हारेन यो शान हाम्रो 
रातो र चन्द्र सुर्य जङ्गी निशान हाम्रो 
जिउंदो रगत श्री यो वल्दो यो शान हाम्रो 
रातो र चन्द्र सुर्य 

जब सम्म चन्द्र र सुर्य आकाशमा रहन्छन 
तब सम्म हुन्छ आफ्नै रातो रगत यो हाम्रो 
गाई सारी छन साधु जो जो यहाँ जगतमा 
सबको शरण बलियो जङ्गी निशान हाम्रो 
रातो र चन्द्र सुर्य जङ्गी निशान हाम्रो 
जिउंदो रगत सरी यो वल्दो यो शान हाम्रो 
रातो र चन्द्र सुर्य",Rato ra Chandra Surya,1974 ad,देश्भक्ती
"टाढा धेरै टाढा उडेका रंगीन चरा
धर्तिमा कहिले फिर्लान्
आकाशको कालो मैलो हटि
घाम जुन कहिले खुल्लान्
टाढा धेरै टाढा उडेका रंगीन चरा
धर्तिमा कहिले फिर्लान्

संघारमा कमजोर आमाको छाया
हुरी चलेको आवेगमा
संघारमा कमजोर आमाको छाया
हुरी चलेको आवेगमा
यस्तो लाग्छ यो घरसंसार
जलिरहेछ संवेगमा
आज हामी माझ बल्झेका पिर सारा
विलाई कहिले झर्लान्
ओठमा चन्द्र सुर्य चम्के सरी
मुस्कान कहिले भर्लान्
मुस्कान कहिले भर्लान्

यात्रामा बाटो पहिल्याउँदै यात्रि
एकदिन पुग्छन् मुलबाटोमा
यात्रामा बाटो पहिल्याउँदै यात्रि
एकदिन पुग्छन् मुलबाटोमा
घरलाई पिर्ने बाधा अड्चन
मन्छाई दिउँला दोबाटोमा
गाढा धेरै गाढा युगौँको भाइचारा
तोडेर तोडिन्न एकदम
पहाडमा मधेश धुन अनेक
नाचौँ न मिलेर छमछम
नाचौँ न मिलेर छमछम
नाचौँ न मिलेर छमछम
नाचौँ न मिलेर छमछम
नाचौँ न मिलेर छमछम
नाचौँ न मिलेर छमछम
नाचौँ न मिलेर छमछम",Rangeen Chara,Nepathya,दुःखी 
"
आगनै भरी हिउँ नै झरे
आरु फूल है टिपी राखे है
लेकैमा भरी बैसमा फूले मायाको मुस्कानमा
सम्झिदेउ, सुम्पिदेउ यो जोवन हामीलाई
 
खोला नाला सुसाई दिन्छन तिम्रै सरगमहरुमा (x2)
चाँदनी रातमा पर्खि बसे है
यो जीवन मै आउँला बादलु भै
त्यो रमाइलो गाँवैमा (x2)
 
मेरा यी रातहरु यादमा बितिरहेछ
भावनामा हाम्रो प्रेमलाई सजाइ राखे है
यो जीवन मै आउँला बादलु भै
यो रमाइलो गाँवैमा (x2)",आगनै भरी,Nepathya,हर्ष 
"
हा...
अभावै भयो
तिमीबिना यो जीवन
अभाव अभावै भयो
तिमीबिना यो जीवन
मनको ब्यथा कसलाई पोखुँ
कहाँ जाउँ कसलाई सुनाउँ
मेरो यो कहानी...
हे...हा...
 
रात भर जागि रहें
सम्झदैं ति दिनहरु
कल्पनामा डुबि रहँदा
थाहै नपाई निदाँएछु
मिर्मिरेमै बिउँझिएछु
तिम्रो नाम लिएर...
हे...हा...",अभाव अभावै भयो,Nepathya,दुःखी 
"
बिन्ति छ मेरो ए मेरी मायालु
एउटा चिट्ठी कोरी पठाईदेउ
तिम्रा ह्रिदयका सारा भावनाहरु
त्यहि चिट्ठीमै कोरी पठाईदेउ
 
जीवनमा पहिलो नजर
केबल तिमीलाई हेरें
मनको यो खाली ठाउँमा
तिम्रै तस्बिर कोरें...
 
चौतारीको डिलमा बसी
ए मेरी मायालु
धेरै धेरै चिट्ठी तिमीलाई कोरें
 
तिम्रा ह्रिदयका सारा भावनाहरु
त्यहि चिट्ठीमै कोरी पठाईदेउ
कोरी पठाईदेउ...",बिन्ति छ मेरो,Nepathya,प्रेम
"ए लजाउने मायाको चुल्बुले तिम्रो मुहार
कस्तिमा राम्री छौ
कस्तिमा राम्री छौ
 
हरियाली चियाबारीमा देख्दा तिमीलाई
लाजमानी हाँसी हाँसी
लुकी लुकी चियाई रहें
 
तिमीलाई भनि मैले माया साँची रखे
अब तिमीलाई मैले
जीवन सुम्पी सके
 
ए लजाउने मायाको चुल्बुले तिम्रो मुहार
कस्तिमा राम्री छौ
कस्तिमा राम्री छौ",ए लजाउने,Nepathya,प्रेम
"गण्डकीको तिरैमा लुकिछिपि खेलेको
फेवा तालै डुंगामा बाराही मन्दिर घुमेको
बिर्सि नदेउ बिर्सि नदेउ बिर्सि नदेउ बिर्सि नदेउ
 
मुटु मेरो छिया पारेर
नजाउ छाडी नौ डाँडा काटेर
जीवन मेरो उदास छ है तिमीलाई सम्झेर
 
गण्डकीको तिरैमा लुकिछिपि खेलेको
फेवा तालै डुंगामा बाराही मन्दिर घुमेको
बिर्सि नदेउ बिर्सि नदेउ बिर्सि नदेउ बिर्सि नदेउ
 
हाँसो रोदन सबै लिएर
पर्खी बस्छु तिमीलाई सम्झेर
हाँसोमा नउडाइ देउ है पराइ सम्झेर
 
गण्डकीको तिरैमा लुकिछिपि खेलेको
फेवा तालै डुंगामा बाराही मन्दिर घुमेको
बिर्सि नदेउ बिर्सि नदेउ बिर्सि नदेउ बिर्सि नदेउ",गण्डकीको तिरैमा,Nepathya,दुःखी 
"जून झै शितलु...
घाम झै पारिलो...
जहाँ जाउँ तिमी
दाहिने चन्द्रमा परोस्
शान्ति...
दुबो जस्तै फैलिदैं जाउ
पाति जस्तै मल्किदैं जाउ
बर-पिपल झैं मेरो
देउरालीमा छाउन आउ
 
दिन छदैं बादलुले
हिमाललाई छेके के भो
आखिर भोली उजेली त
हुनु छदैं छ
मन बाझ्ने कुराहरु
आपसमा धेरै होलान्
आफ्नै सम्झि
बिर्सि दिनु चुपचाप
आवाज छन्
 
मिर्मिरेमा निस्के जस्तै
दिन भरी कर्म गर्दै
साँझ घर फिर्न पाउँ
तिमी हामी मरेर गए नि
यो देश सधैं रहि रहोस्",जून झै शितलु,Nepathya,देश्भक्ती
