"","lyrics","title","artist","sentiment"
"1","जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 
जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 

 ्व  ,हा् पु्खा
क ब्य्था सहे
क ब्य्था सहे
इिहास कथा  खेक 
इिहास कथा  खेक 

जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 
जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 
  लडॉइक ैदा भागिदिं
  सुक ाज बिक दिं
  लडॉइक ैदा भागिदिं
  सुक ाज बिक दिं
आफ् क् अटल हे
आफ् पसि बिश्स ाख
् य   ेो, ेपाल 

  क ोसा बाचिदिं
  आफ् ा गु् दिं
  क ोसा बाचिदिं
  आफ् ा गु् दिं
हिाल झ च्ल सफा  ाी
आश झ फिजि बि  बिशाल
य   ेो, ेपाल 

जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 
जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 

 ्व  ,हा् पु्खा
क ब्य्था सहे
क ब्य्था सहे
इिहास कथा  खेक 
इिहास कथा  खेक 
जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल 
जस ग ज भ जासुक लैजाउ लाइ
य   े ेपाल ","Yo maan ta mero nepali ho","1974 ad","देश्भक्ती"
"2","पेल लु ाख ।
अंगालो  बाँध ाख।
  देउ ोक  ोक।
उड्  देउ आश क च जस् लाइ।
(chorus)बाँधे ाख ि् ुटुा,
य  ि् धड्क ।
साँचे ाख ि् आँखाा,
य  ि् साहाा ।…२
 भि् साँच ाख ।
आँखा भि् अल्झा ाख।
् देउ  ि् आँखा ा।
बास बस् देउ ि् हृदयक धुकधुक ा।
पेल लु ाख ।
अंगालो  बाँध ाख।
  देउ ोक  ोक।
उड्  देउ आश क च जस् लाइ। ","Parelima","1974 ad","प्रेम"
"3","ा  च्द् सु्य जङ्ग िशा हा्ो 
जिउंद ग स य वल्द य शा हा्ो 
ा  च्द् सु्य 

हिाल झ अटल य झु य  
ल्े य कह जङ्ग िशा हा्ो 
य ज्द जग कय प्हा  
सा्ाज्य दु हा हाे य शा हा्ो 
ा  च्द् सु्य जङ्ग िशा हा्ो 
जिउंद ग श् य वल्द य शा हा्ो 
ा  च्द् सु्य 

 स् च्द्  सु्य आश ह् 
ब स् हु् आफ् ा ग य हा्ो 
गा सा  साध ज ज  जगा 
सबक शण बलिय जङ्ग िशा हा्ो 
ा  च्द् सु्य जङ्ग िशा हा्ो 
जिउंद ग स य वल्द य शा हा्ो 
ा  च्द् सु्य","Rato ra Chandra Surya","1974 ad","देश्भक्ती"
"4","टाढा धे टाढा उडे ंगी चा
ध् कह फि्ला्
आशक ल ैल हटि
घा  कह खुल्ला्
टाढा धे टाढा उडे ंगी चा
ध् कह फि्ला्

संघा क आाक ा
हु चक आवेगा
संघा क आाक ा
हु चक आवेगा
् लाग् य घसंसा
जलिहे संवेगा
आज हा ाझ बल्झे पि साा
व कह झ्ला्
 च्द् सु्य च्क सी
ुस् कह ्ला्
ुस् कह ्ला्

्ा  पहिल्उँद ्ि
दि पुग् ुलोा
्ा  पहिल्उँद ्ि
दि पुग् ुलोा
घ पि् बाधा अड्च
्ा दिउँ दोोा
गाढा धे गाढा युगौँक भाइा
ोडे ोडि् द
पहाड धेश धु अेक
ाचौँ  ि 
ाचौँ  ि 
ाचौँ  ि 
ाचौँ  ि 
ाचौँ  ि 
ाचौँ  ि 
ाचौँ  ि ","Rangeen Chara","Nepathya","दुःखी"
"5","
आग भ हिउँ  झे
आ फूल ह टिप ाख है
क भ बैस फ ाक ुस्ा
स्झिदेउ, सु्पिदेउ य व हाी
 
खो ा सुसा दि् ि् सगहुा (x2)
चाँद ा प्ख बस है
य जीव  आउँ बादल भै
्य ाइल गाँवैा (x2)
 
ेा य ा द बििहे
भाव हा् प्े सजाइ ाख है
य जीव  आउँ बादल भै
य ाइल गाँवैा (x2)","आगनै भरी","Nepathya","हर्ष"
"6","
हा...
अभाव भ
िीबि य जीव
अभाव अभाव भ
िीबि य जीव
क ब्यथा कस पोखुँ
 जाउँ कस सुाउँ
े य कहाी...
हे...हा...
 
ा भ जाग हें
स्झदैं  दिहु
कल्प डुब हँदा
थाह पा िदाँएु
ि्िे बिउँझिएु
ि् ा लिए...
हे...हा...","अभाव अभावै भयो","Nepathya","दुःखी"
"7","
बि्  े ए े ालु
एउटा चिट्ठ  पठाईदेउ
ि्ा ह्िदय साा भाहु
्यह चिट्ठी  पठाईदेउ
 
जीव पहिल ज
बल ि हेें
क य खाल ठाउँा
ि् स्बि ें...
 
चौाीक डिल बसी
ए े ालु
धे धे चिट्ठ ि ें
 
ि्ा ह्िदय साा भाहु
्यह चिट्ठी  पठाईदेउ
 पठाईदेउ...","बिन्ति छ मेरो","Nepathya","प्रेम"
"8","ए लजा ाक चुल्ब ि् ुहा
कस् ा् ौ
कस् ा् ौ
 
हिल चिबा ्दा िी
लाजा हाँस हाँसी
लुक लुक चि हें
 
ि भ  ा साँच खे
 ि ै
जीव सु्प स
 
ए लजा ाक चुल्ब ि् ुहा
कस् ा् ौ
कस् ा् ौ","ए लजाउने","Nepathya","प्रेम"
"9","गण्डकीक ि लुिप खे
फे ाल डुंगा बााह ्दि घुे
बि्स देउ बि्स देउ बि्स देउ बि्स देउ
 
ुट े ि पाे
जाउ ाड  डाँडा टे
जीव े उदास  ह ि स्झे
 
गण्डकीक ि लुिप खे
फे ाल डुंगा बााह ्दि घुे
बि्स देउ बि्स देउ बि्स देउ बि्स देउ
 
हाँस ोद सब लिए
प्ख बस् ि स्झे
हाँस उडाइ देउ ह पाइ स्झे
 
गण्डकीक ि लुिप खे
फे ाल डुंगा बााह ्दि घुे
बि्स देउ बि्स देउ बि्स देउ बि्स देउ","गण्डकीको तिरैमा","Nepathya","दुःखी"
"10","जू झ शिलु...
घा झ पािलो...
 जाउँ िी
दाहि च्द् पोस्
शा्ि...
दुब जस् फैलिदैं जाउ
पा जस् ल्दैं जाउ
ब-पिपल झैं ेो
देउाल ा आउ
 
दि दैं बादलु
हिाल ेक क भो
आखि भोल उल 
हु दैं 
 बाझ् हु
आपस धे ला्
आफ् स्झि
बि्स दि चुपचाप
आज ्
 
ि्ि िस्क 
दि भ क् ्दै
साँझ घ फि् पाउँ
ि हा े  ि
य देश ं ह स्","जून झै शितलु","Nepathya","देश्भक्ती"
